"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT",18,0,0.5,"Up",2e-04,0.02505,0.0018,0.00930428571428571
"WP_AFLATOXIN_B1_METABOLISM",5,0.8,0,"Down",0.0011,0.06513,0.0014,0.009018
"WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY",44,0.0909090909090909,0.340909090909091,"Up",0.0016,0.06513,0.0199,0.0396625
"WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY",89,0.370786516853933,0.134831460674157,"Down",0.0019,0.06513,1e-04,0.000835
"WP_ADIPOGENESIS_GENES",132,0.121212121212121,0.234848484848485,"Up",0.002,0.06513,0.0013,0.00869791666666667
"WP_MACROPHAGE_MARKERS",10,0,0.6,"Up",0.0041,0.112725,0.0052,0.0175520408163265
"WP_REGULATION_OF_ACTIN_CYTOSKELETON",149,0.0939597315436242,0.281879194630872,"Up",0.0067,0.126085,0.0295,0.0486945544554455
"WP_FOCAL_ADHESION_PI3K_AKT_MTOR_SIGNALING_PATHWAY",310,0.129032258064516,0.17741935483871,"Up",0.0069,0.126085,0.0397,0.0580837719298246
"WP_HEDGEHOG_SIGNALING_PATHWAY",22,0.363636363636364,0.136363636363636,"Down",0.0076,0.126085,0.0107,0.0282309523809524
"WP_SEROTONIN_AND_ANXIETY",17,0.0588235294117647,0.294117647058824,"Up",0.0076,0.126085,8e-04,0.0062625
"WP_CHEMOKINE_SIGNALING_PATHWAY",174,0.0632183908045977,0.270114942528736,"Up",0.0084,0.126768181818182,0.0395,0.0580837719298246
"WP_MIR_193A_AND_MVP_IN_COLON_CANCER_METASTASIS",6,0.5,0,"Down",0.0115,0.148373076923077,3e-04,0.00321153846153846
"WP_ELONGATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",14,0.5,0,"Down",0.0116,0.148373076923077,0.0149,0.0326309210526316
"WP_HISTONE_MODIFICATIONS",5,0.4,0.2,"Down",0.0137,0.156013157894737,1e-04,0.000835
"WP_G_PROTEIN_SIGNALING_PATHWAYS",89,0.0898876404494382,0.292134831460674,"Up",0.0147,0.156013157894737,0.0197,0.0396625
"WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY",40,0.05,0.275,"Up",0.0157,0.156013157894737,0.0019,0.00930428571428571
"WP_ESC_PLURIPOTENCY_PATHWAYS",116,0.103448275862069,0.232758620689655,"Up",0.0163,0.156013157894737,0.0346,0.0538884259259259
"WP_NUCLEAR_RECEPTORS",38,0.131578947368421,0.236842105263158,"Up",0.0176,0.156013157894737,0.0082,0.0238780701754386
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG",32,0.09375,0.5625,"Up",0.0178,0.156013157894737,0.003,0.0117297619047619
"WP_FOCAL_ADHESION",185,0.140540540540541,0.243243243243243,"Up",0.019,0.1582325,0.0243,0.0449972222222222
"WP_LEPTIN_INSULIN_SIGNALING_OVERLAP",18,0,0.277777777777778,"Up",0.0237,0.18807380952381,0.0455,0.0644844537815126
"WP_APOE_AND_MIR_146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS",8,0,0.25,"Up",0.0251,0.190152272727273,0.0459,0.0644844537815126
"WP_TOLL_LIKE_RECEPTOR_SIGNALING",32,0.125,0.46875,"Up",0.0289,0.202835416666667,0.0021,0.00950972222222222
"WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA",58,0.137931034482759,0.310344827586207,"Up",0.0292,0.202835416666667,1e-04,0.000835
"WP_ALZHEIMER_39_S_DISEASE",74,0.0810810810810811,0.283783783783784,"Up",0.0336,0.211842592592593,0.0284,0.0473445
"WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY",30,0.0666666666666667,0.266666666666667,"Up",0.0338,0.211842592592593,2e-04,0.00227727272727273
"WP_BMP_SIGNALING_PATHWAY_IN_EYELID_DEVELOPMENT",20,0,0.4,"Up",0.0343,0.211842592592593,0.1012,0.114911904761905
"WP_G1_TO_S_CELL_CYCLE_CONTROL",60,0.35,0.133333333333333,"Down",0.0366,0.217994642857143,1e-04,0.000835
"WP_TRYPTOPHAN_METABOLISM",43,0.0930232558139535,0.325581395348837,"Up",0.0395,0.225204411764706,4e-04,0.00389666666666667
"WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULIN_LIKE_GROWTH_FACTOR_IGF1_AKT_SIGNALING",31,0.032258064516129,0.258064516129032,"Up",0.0412,0.225204411764706,0.081,0.0965617857142857
"WP_ALPHA_6_BETA_4_INTEGRIN_SIGNALING_PATHWAY",66,0.0909090909090909,0.242424242424242,"Up",0.0426,0.225204411764706,0.0267,0.0471994736842105
"WP_P53_SIGNALING",65,0.323076923076923,0.215384615384615,"Down",0.0452,0.225204411764706,6e-04,0.00510277777777778
"WP_OSTEOCLAST_SIGNALING",14,0.0714285714285714,0.357142857142857,"Up",0.0458,0.225204411764706,0.0204,0.0399817647058823
"WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE",7,0.428571428571429,0.142857142857143,"Down",0.0459,0.225204411764706,1e-04,0.000835
"WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS",149,0.114093959731544,0.208053691275168,"Up",0.0515,0.231873076923077,0.0067,0.0213567307692308
"WP_P38_MAPK_SIGNALING_PATHWAY",33,0.0606060606060606,0.333333333333333,"Up",0.0517,0.231873076923077,0.0446,0.0641366379310345
